"inst_name,C,254",lat,lon,geoid,tractid,state,county
"SCINTILLATION NANOTECHNOLOGIES, INC.",32.073081,-110.69792,1400000US04019004081,04019004081,AZ,Pima County
VIVOSPHERE LLC,32.587008,-85.493201,1400000US01081040700,01081040700,AL,Lee County
CFD RESEARCH CORPORATION,34.7573,-86.678606,1400000US01089010626,01089010626,AL,Madison County
"VIC FOUNDRY, INC.",36.042291,-94.16811,1400000US05143011105,05143011105,AR,Washington County
IMETABOLIC BIOPHARMA CORPORATION,33.3429,-111.894721,1400000US04013319909,04013319909,AZ,Maricopa County
NEPHSMART LLC,34.731783,-92.41679,1400000US05119004224,05119004224,AR,Pulaski County
DINE' COLLEGE,36.326278,-109.268065,1400000US04001944100,04001944100,AZ,Apache County
SOUTHERN RESEARCH INSTITUTE,33.503687,-86.79741,1400000US01073004502,01073004502,AL,Jefferson County
"COMPOVAX, LLC",30.692961,-88.194383,1400000US01097003602,01097003602,AL,Mobile County
ALABAMA STATE UNIVERSITY,32.365014,-86.295702,1400000US01101001500,01101001500,AL,Montgomery County
CANAIRY LLC,33.439559,-86.681294,1400000US01117030221,01117030221,AL,Shelby County
"CND LIFE SCIENCES, INC.",33.518079,-112.010329,1400000US04013105103,04013105103,AZ,Maricopa County
BANNER HEALTH,33.433422,-112.087594,1400000US04013114800,04013114800,AZ,Maricopa County
"SFC FLUIDICS, LLC",36.042985,-94.167916,1400000US05143011105,05143011105,AR,Washington County
"INTERVEXION THERAPEUTICS, LLC",34.751922,-92.345672,1400000US05119002103,05119002103,AR,Pulaski County
"ANEUVAS TECHNOLOGIES, INC.",33.25312,-111.616347,1400000US04013816902,04013816902,AZ,Maricopa County
OUACHITA BAPTIST UNIVERSITY,34.124645,-93.051344,1400000US05019953602,05019953602,AR,Clark County
ALABAMA FIRE COLLEGE,33.120981,-87.566774,1400000US01125012505,01125012505,AL,Tuscaloosa County
"NUVOX PHARMA, LLC",32.212468,-110.947196,1400000US04019000700,04019000700,AZ,Pima County
"ZEBRA ANALYTIX, INC.",36.042285,-94.168103,1400000US05143011105,05143011105,AR,Washington County
LYCHEE BIOSCIENCE LLC,32.311097,-110.946023,1400000US04019004726,04019004726,AZ,Pima County
UNIVERSITY OF ALASKA ANCHORAGE,61.190646,-149.818129,1400000US02020001602,02020001602,AK,Anchorage Municipality
ARIZONA VETERANS RESEARCH AND EDUCATION FOUNDATION,33.496961,-112.066778,1400000US04013117100,04013117100,AZ,Maricopa County
WHITE MOUNTAIN APACHE TRIBE,33.837596,-109.968235,1400000US04017940301,04017940301,AZ,Navajo County
"LUCEOME BIOTECHNOLOGIES, LLC",32.212822,-110.946372,1400000US04019000700,04019000700,AZ,Pima County
"LIGHT RESEARCH, INC.",32.294565,-110.848018,1400000US04019004722,04019004722,AZ,Pima County
UNIVERSITY OF ALABAMA IN HUNTSVILLE,34.720045,-86.644056,1400000US01089001500,01089001500,AL,Madison County
SITKA TRIBE OF ALASKA,57.053115,-135.344477,1400000US02220000200,02220000200,AK,Sitka City and Borough
"ILUMINOS THERAPEUTICS, LLC",32.42501,-110.977859,1400000US04019004641,04019004641,AZ,Pima County
"BIOSTRATEGIES, LC",35.849336,-90.679349,1400000US05031000602,05031000602,AR,Craighead County
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",37.767442,-122.413937,1400000US06075017700,06075017700,CA,San Francisco County
YALE UNIVERSITY,41.310925,-72.926428,1400000US09170361402,09170361402,CT,South Central Connecticut Planning Region
UNIVERSITY OF SOUTHERN CALIFORNIA,34.017282,-118.281254,1400000US06037222700,06037222700,CA,Los Angeles County
"TING THERAPEUTICS, INC.",41.260026,-96.065008,1400000US31055006704,31055006704,NE,Douglas County
UNIVERSITY OF CALIFORNIA SANTA BARBARA,34.431306,-119.834277,1400000US06083980000,06083980000,CA,Santa Barbara County
UNIVERSITY OF COLORADO DENVER,39.745098,-104.837605,1400000US08001008100,08001008100,CO,Adams County
UNIVERSITY OF CALIFORNIA BERKELEY,37.870017,-122.268624,1400000US06001422902,06001422902,CA,Alameda County
FRIENDI.FI CORPORATION,37.597459,-122.385206,1400000US06081604400,06081604400,CA,San Mateo County
UNIVERSITY OF COLORADO,38.891282,-104.800059,1400000US08041007802,08041007802,CO,El Paso County
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",32.876991,-117.24087,1400000US06073008305,06073008305,CA,San Diego County
COLORADO STATE UNIVERSITY,40.57951,-105.081267,1400000US08069000201,08069000201,CO,Larimer County
UNIVERSITY OF CALIFORNIA-IRVINE,33.64852,-117.82136,1400000US06059062629,06059062629,CA,Orange County
UNIVERSITY OF CALIFORNIA LOS ANGELES,34.070199,-118.45102,1400000US06037265301,06037265301,CA,Los Angeles County
BECKMAN RESEARCH INSTITUTE/CITY OF HOPE,34.127716,-117.972442,1400000US06037430102,06037430102,CA,Los Angeles County
GEORGE WASHINGTON UNIVERSITY,38.898075,-77.043933,1400000US11001010800,11001010800,DC,District of Columbia
CHILDREN'S RESEARCH INSTITUTE,38.927274,-77.014396,1400000US11001002302,11001002302,DC,District of Columbia
STANFORD UNIVERSITY,37.426852,-122.17047,1400000US06085513000,06085513000,CA,Santa Clara County
UNIVERSITY OF CALIFORNIA AT DAVIS,38.543366,-121.72946,1400000US06113010608,06113010608,CA,Yolo County
SAN DIEGO STATE UNIVERSITY,32.762178,-117.069156,1400000US06073002804,06073002804,CA,San Diego County
UNIVERSITY OF CALIFORNIA RIVERSIDE,33.972585,-117.350361,1400000US06065030501,06065030501,CA,Riverside County
"MAGNETIC TIDES, INC.",37.925126,-122.296134,1400000US06013385100,06013385100,CA,Contra Costa County
CALIFORNIA INSTITUTE OF TECHNOLOGY,34.134332,-118.12652,1400000US06037463500,06037463500,CA,Los Angeles County
"SYMPHONY BIOSCIENCES, INC.",34.033932,-118.489495,1400000US06037701202,06037701202,CA,Los Angeles County
CEDARS-SINAI MEDICAL CENTER,34.076544,-118.380004,1400000US06037214902,06037214902,CA,Los Angeles County
GEORGETOWN UNIVERSITY,38.905206,-77.07547,1400000US11001000202,11001000202,DC,District of Columbia
J. DAVID GLADSTONE INSTITUTES,37.767618,-122.394315,1400000US06075060701,06075060701,CA,San Francisco County
"SCRIPPS RESEARCH INSTITUTE, THE",32.903062,-117.243592,1400000US06073008312,06073008312,CA,San Diego County
BUCK INSTITUTE FOR RESEARCH ON AGING,38.135302,-122.574863,1400000US06041102100,06041102100,CA,Marin County
CULTURA Y ARTE NATIVA DE LAS AMERICAS,37.750005,-122.409528,1400000US06075022902,06075022902,CA,San Francisco County
HOUSING AUTHORITY OF THE CITY OF LOS ANGELES,34.060406,-118.281668,1400000US06037208720,06037208720,CA,Los Angeles County
UNIVERSITY OF CONNECTICUT SCH OF MED/DNT,41.734182,-72.793791,1400000US09110460100,09110460100,CT,Capitol Planning Region
UNIVERSITY OF CONNECTICUT STORRS,41.811419,-72.247553,1400000US09110881200,09110881200,CT,Capitol Planning Region
CALIFORNIA MEDICAL INNOVATIONS INSTITUTE,32.90509,-117.229789,1400000US06073008339,06073008339,CA,San Diego County
KAISER FOUNDATION RESEARCH INSTITUTE,37.805769,-122.265214,1400000US06001402900,06001402900,CA,Alameda County
"GLYTR THERAPEUTICS, INC.",33.64852,-117.82136,1400000US06059062629,06059062629,CA,Orange County
UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB,37.868252,-122.258486,1400000US06001422800,06001422800,CA,Alameda County
UNIVERSITY OF DELAWARE,39.714507,-75.738715,1400000US10003013610,10003013610,DE,New Castle County
LA JOLLA INSTITUTE FOR IMMUNOLOGY,32.838775,-117.253243,1400000US06073008303,06073008303,CA,San Diego County
VIRTUS THERAPEUTICS CORPORATION,41.306343,-72.933293,1400000US09170361401,09170361401,CT,South Central Connecticut Planning Region
SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,32.9036,-117.24298,1400000US06073008339,06073008339,CA,San Diego County
RAND CORPORATION,34.009659,-118.490943,1400000US06037701902,06037701902,CA,Los Angeles County
"PHOTOZIG, INC.",37.412894,-122.049891,1400000US06085504700,06085504700,CA,Santa Clara County
"VALA SCIENCES, INC.",32.887209,-117.181283,1400000US06073008350,06073008350,CA,San Diego County
CHARLES R. DREW UNIVERSITY OF MED & SCI,33.923952,-118.245687,1400000US06037540700,06037540700,CA,Los Angeles County
UNIVERSITY OF CALIFORNIA SANTA CRUZ,36.97756,-122.055836,1400000US06087100400,06087100400,CA,Santa Cruz County
NATIONAL JEWISH HEALTH,39.739206,-104.941874,1400000US08031003703,08031003703,CO,Denver County
SAN DIEGO BIOMEDICAL RESEARCH INSTITUTE,32.894055,-117.202589,1400000US06073008346,06073008346,CA,San Diego County
SRI INTERNATIONAL,37.457187,-122.175213,1400000US06081612500,06081612500,CA,San Mateo County
KECK GRADUATE INST OF APPLIED LIFE SCIS,34.092479,-117.722006,1400000US06037402001,06037402001,CA,Los Angeles County
"PRAEVIUM RESEARCH, INC.",34.43213,-119.811764,1400000US06083003001,06083003001,CA,Santa Barbara County
"POINT DESIGNS, LLC",40.13994,-105.257497,1400000US08013013202,08013013202,CO,Boulder County
"BIOSPYDER TECHNOLOGIES, INC.",33.025787,-117.21755,1400000US06073017106,06073017106,CA,San Diego County
SCINTILLON INSTITUTE FOR PHOTOBIOLOGY,32.887458,-117.182927,1400000US06073008350,06073008350,CA,San Diego County
SALK INSTITUTE FOR BIOLOGICAL STUDIES,32.8863,-117.243929,1400000US06073008312,06073008312,CA,San Diego County
SMITH-KETTLEWELL EYE RESEARCH INSTITUTE,37.791185,-122.43391,1400000US06075013500,06075013500,CA,San Francisco County
COSMYC INC,39.16869,-75.545247,1400000US10001043300,10001043300,DE,Kent County
UNIVERSITY OF COLORADO,40.013296,-105.251932,1400000US08013012605,08013012605,CO,Boulder County
DENVER HEALTH AND HOSPITAL AUTHORITY,39.727302,-104.991569,1400000US08031001800,08031001800,CO,Denver County
"RESOLUTE SCIENCE, INC.",33.019648,-117.197359,1400000US06073017106,06073017106,CA,San Diego County
NATIONAL ALLIANCE FOR HISPANIC HEALTH,38.90983,-77.036184,1400000US11001005202,11001005202,DC,District of Columbia
SAN FRANCISCO STATE UNIVERSITY,37.72091,-122.476074,1400000US06075033201,06075033201,CA,San Francisco County
MILLION MARKER WELLNESS INC.,37.929887,-122.305288,1400000US06013385100,06013385100,CA,Contra Costa County
ASSOCIATION OF AMERICAN MEDICAL COLLEGES,38.902811,-77.020782,1400000US11001004703,11001004703,DC,District of Columbia
"ONCTERNAL THERAPEUTICS, INC.",35.143199,-90.050426,1400000US47157011402,47157011402,TN,Shelby County
"HUNGRY HEART MEDIA, INC.",34.072514,-118.371028,1400000US06037214800,06037214800,CA,Los Angeles County
"COLOR HEALTH, INC.",37.600555,-122.37358,1400000US06081605100,06081605100,CA,San Mateo County
SETI INSTITUTE,37.386268,-122.051359,1400000US06085509109,06085509109,CA,Santa Clara County
WESLEYAN UNIVERSITY,41.557395,-72.655179,1400000US09130541500,09130541500,CT,Lower Connecticut River Valley Planning Region
"UNIVERSITY OF CALIFORNIA, MERCED",37.351306,-120.4324,1400000US06047001801,06047001801,CA,Merced County
PUBLIC HEALTH FOUNDATION ENTERPRISES,34.029482,-118.023269,1400000US06037408402,06037408402,CA,Los Angeles County
PYXIS PARTNERS LLC,38.905386,-77.030988,1400000US11001005003,11001005003,DC,District of Columbia
INSITEHUB LLC,39.679205,-75.73119,1400000US10003014502,10003014502,DE,New Castle County
VERILY LIFE SCIENCES LLC,37.654526,-122.399747,1400000US06081602300,06081602300,CA,San Mateo County
CHILDREN'S HOSPITAL OF LOS ANGELES,34.098065,-118.29069,1400000US06037191302,06037191302,CA,Los Angeles County
CALIFORNIA STATE UNIVERSITY FULLERTON,33.8781,-117.884245,1400000US06059011504,06059011504,CA,Orange County
CARE.COACH CORPORATION,37.603956,-122.394094,1400000US06081604400,06081604400,CA,San Mateo County
PUBLIC HEALTH INSTITUTE,37.803785,-122.275259,1400000US06001403100,06001403100,CA,Alameda County
"BIG EYE DIAGNOSTICS, INC.",32.90309,-117.180921,1400000US06073008350,06073008350,CA,San Diego County
EMBRIENT INC,32.857276,-117.226237,1400000US06073008364,06073008364,CA,San Diego County
PALO ALTO VETERANS INSTIT FOR RESEARCH,37.400877,-122.138324,1400000US06085511705,06085511705,CA,Santa Clara County
"ABBRATECH, INC.",41.291635,-72.689631,1400000US09170190100,09170190100,CT,South Central Connecticut Planning Region
CALIFORNIA STATE UNIVERSITY SACRAMENTO,38.553853,-121.421265,1400000US06067005201,06067005201,CA,Sacramento County
LOHOCLA RESEARCH CORPORATION,42.027222,-87.678067,1400000US17031810000,17031810000,IL,Cook County
"LEBRUN LABS, LLC",33.860473,-117.795983,1400000US06059021813,06059021813,CA,Orange County
SCRIPPS HEALTH,32.887742,-117.223797,1400000US06073008339,06073008339,CA,San Diego County
"NEURAEGIS, INC.",33.838148,-117.600411,1400000US06065041804,06065041804,CA,Riverside County
"STARLIGHT CARDIOVASCULAR, INC.",32.870705,-117.225305,1400000US06073008377,06073008377,CA,San Diego County
"ARMIDA LABS, INC.",32.8572,-117.189598,1400000US06073008344,06073008344,CA,San Diego County
DIGITAL ORGANIZING POWER-BUILDING AND ENGAGEMENT LABS,37.80342,-122.269799,1400000US06001403000,06001403000,CA,Alameda County
"VIVREON BIOSCIENCES, LLC",32.885478,-117.170654,1400000US06073008350,06073008350,CA,San Diego County
INTEGRATED MEDICAL SENSORS,33.700942,-117.756405,1400000US06059052431,06059052431,CA,Orange County
REKOVAR INC.,34.153753,-118.763422,1400000US06037800324,06037800324,CA,Los Angeles County
GALLAUDET UNIVERSITY,38.905784,-76.994932,1400000US11001008803,11001008803,DC,District of Columbia
MARTINEAU & ASSOCIATES,37.435907,-122.191259,1400000US06081612800,06081612800,CA,San Mateo County
FAIRFIELD UNIVERSITY,41.164233,-73.255844,1400000US09120060700,09120060700,CT,Greater Bridgeport Planning Region
"HEALCISIO, INC.",32.856071,-117.227467,1400000US06073008364,06073008364,CA,San Diego County
DELTA RESEARCH AND EDUCATIONAL FOUNDATION,38.91289,-77.039938,1400000US11001005302,11001005302,DC,District of Columbia
NORTHERN CALIFORNIA INSTITUTE/RES/EDU,37.781538,-122.504847,1400000US06075980200,06075980200,CA,San Francisco County
"NAVEGA THERAPEUTICS, INC.",32.85078,-117.250436,1400000US06073008312,06073008312,CA,San Diego County
"SYNTR HEALTH TECHNOLOGIES, LLC",33.866635,-118.048458,1400000US06037554512,06037554512,CA,Los Angeles County
"NEUROBEHAVIORAL SYSTEMS, INC.",37.871398,-122.268005,1400000US06001422902,06001422902,CA,Alameda County
DELAWARE STATE UNIVERSITY,39.189379,-75.541169,1400000US10001043300,10001043300,DE,Kent County
OCCIDENTAL COLLEGE,34.127505,-118.212852,1400000US06037181600,06037181600,CA,Los Angeles County
CALIFORNIA STATE UNIVERSITY FRESNO,36.815106,-119.745116,1400000US06019005408,06019005408,CA,Fresno County
LUNDQUIST INSTITUTE FOR BIOMEDICAL INNOVATION AT HARBOR-UCLA MEDICAL CENTER,33.831471,-118.295432,1400000US06037543503,06037543503,CA,Los Angeles County
CALIFORNIA STATE POLY U POMONA,34.049754,-117.815697,1400000US06037402403,06037402403,CA,Los Angeles County
DRYAD,38.542974,-121.744084,1400000US06113010701,06113010701,CA,Yolo County
MAGNUS MEDICAL INC,37.594964,-122.363634,1400000US06081605100,06081605100,CA,San Mateo County
"NEMOURS CHILDREN'S HOSPITAL, DELAWARE",39.778191,-75.557506,1400000US10003011700,10003011700,DE,New Castle County
UNIVERSITY OF DENVER (COLORADO SEMINARY),39.676639,-104.959481,1400000US08031003004,08031003004,CO,Denver County
CALIFORNIA STATE UNIVERSITY LOS ANGELES,34.062539,-118.169044,1400000US06037201700,06037201700,CA,Los Angeles County
SAN JOSE STATE UNIVERSITY,37.340938,-121.889413,1400000US06085501000,06085501000,CA,Santa Clara County
LOMA LINDA UNIVERSITY,34.051744,-117.261784,1400000US06071007303,06071007303,CA,San Bernardino County
ACTIOX LLC,34.218203,-118.887869,1400000US06111006302,06111006302,CA,Ventura County
"AUTONOMOUS HEALTHCARE, INC.",40.725875,-74.005946,1400000US36061003700,36061003700,NY,New York County
"BIOVINC, LLC",34.425307,-119.708189,1400000US06083000900,06083000900,CA,Santa Barbara County
"AMYGDALA NEUROSCIENCES, INC.",37.439933,-122.151692,1400000US06085511301,06085511301,CA,Santa Clara County
HUNTINGTON MEDICAL RESEARCH INSTITUTES,34.147786,-118.13699,1400000US06037462202,06037462202,CA,Los Angeles County
MOSES-WEITZMAN HEALTH SYSTEM INC,41.564516,-72.652628,1400000US09130541100,09130541100,CT,Lower Connecticut River Valley Planning Region
"LIFE ANALYTICS, INC.",37.451959,-122.272579,1400000US06081613300,06081613300,CA,San Mateo County
"PLANET BIOTECHNOLOGY, INC.",37.63371,-122.119975,1400000US06001437101,06001437101,CA,Alameda County
DENVER RESEARCH INSTITUTE,39.73196,-104.936299,1400000US08031004308,08031004308,CO,Denver County
"SHASQI, INC.",37.779354,-122.393234,1400000US06075061502,06075061502,CA,San Francisco County
HOWARD UNIVERSITY,38.923138,-77.021576,1400000US11001003400,11001003400,DC,District of Columbia
"ACATECHOL, INC.",34.425782,-119.685018,1400000US06083000801,06083000801,CA,Santa Barbara County
"GLYCODOTS, LLC",32.901318,-117.200493,1400000US06073008346,06073008346,CA,San Diego County
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,34.245875,-118.501885,1400000US06037117302,06037117302,CA,Los Angeles County
AUXILIUM BIOTECHNOLOGIES INC.,32.943887,-117.228968,1400000US06073008331,06073008331,CA,San Diego County
"ELIXERA, INC.",37.480304,-122.184499,1400000US06081610400,06081610400,CA,San Mateo County
"POWELL MANSFIELD, INC.",32.77849,-117.11914,1400000US06073009307,06073009307,CA,San Diego County
"ODMR TECHNOLOGIES, INC.",37.929152,-122.315051,1400000US06013384000,06013384000,CA,Contra Costa County
"BEAVER HEALTH, INC.",37.413693,-121.960166,1400000US06085505014,06085505014,CA,Santa Clara County
"SURVEY GENOMICS, INC.",37.868679,-122.255874,1400000US06001422800,06001422800,CA,Alameda County
"RESVITA BIO, INC.",37.845451,-122.28766,1400000US06001425103,06001425103,CA,Alameda County
"ONDAVIA, INC.",37.626125,-122.121042,1400000US06001437101,06001437101,CA,Alameda County
ANANYA HEALTH INC,37.765043,-122.394529,1400000US06075022702,06075022702,CA,San Francisco County
NEST GENOMICS,37.888376,-122.294864,1400000US06001420500,06001420500,CA,Alameda County
"L2 DIAGNOSTICS, LLC",41.30464,-72.931023,1400000US09170140101,09170140101,CT,South Central Connecticut Planning Region
"CHROMOLOGIC, LLC",34.138587,-117.991131,1400000US06037431100,06037431100,CA,Los Angeles County
ANISE HEALTH INC,38.76518,-75.211745,1400000US10005050807,10005050807,DE,Sussex County
"RESONANT THERAPEUTICS, INC.",34.433903,-119.629863,1400000US06083001500,06083001500,CA,Santa Barbara County
PANLUMINATE INC.,41.306254,-72.932343,1400000US09170361401,09170361401,CT,South Central Connecticut Planning Region
"REJUVENATION TECHNOLOGIES, INC.",37.373108,-122.210939,1400000US06081613200,06081613200,CA,San Mateo County
"ABWIZ BIO, INC.",32.930495,-117.241947,1400000US06073008339,06073008339,CA,San Diego County
"EXAI BIO, INC.",37.434073,-122.112547,1400000US06085510801,06085510801,CA,Santa Clara County
NUMENTUS TECHNOLOGIES INC.,37.457187,-122.175213,1400000US06081612500,06081612500,CA,San Mateo County
TEAL HEALTH INC,37.436934,-122.193602,1400000US06081612800,06081612800,CA,San Mateo County
"CORDANCE MEDICAL, INC.",37.414589,-122.099296,1400000US06085509304,06085509304,CA,Santa Clara County
"ASSISTIVE TECHNOLOGY DEVELOPMENT, INC.",40.530372,-104.98376,1400000US08069002506,08069002506,CO,Larimer County
"VIROGENICS, INC.",32.904436,-117.218137,1400000US06073008346,06073008346,CA,San Diego County
"NOVOMEDIX, INC.",32.913223,-117.231033,1400000US06073008339,06073008339,CA,San Diego County
"CENNA BIOSCIENCES, INC.",32.848095,-117.212445,1400000US06073008307,06073008307,CA,San Diego County
VORTEX MEDICAL LLC,37.438425,-122.254651,1400000US06081613300,06081613300,CA,San Mateo County
CEIBA BIO INC.,32.943754,-117.192989,1400000US06073021502,06073021502,CA,San Diego County
"CELLINFINITY BIO, INC.",41.234654,-73.078341,1400000US09170150600,09170150600,CT,South Central Connecticut Planning Region
"ELECTRONIC BIOSCIENCES, INC.",32.904211,-117.19742,1400000US06073008346,06073008346,CA,San Diego County
"ACTIVE4D, INC.",32.989627,-117.262471,1400000US06073017307,06073017307,CA,San Diego County
"SAGE CEREBROVASCULAR DIAGNOSTICS, INC.",34.19833,-118.62174,1400000US06037134422,06037134422,CA,Los Angeles County
"TAMBO, INC.",37.779561,-122.39304,1400000US06075061502,06075061502,CA,San Francisco County
EDIFY,39.735847,-104.953653,1400000US08031003702,08031003702,CO,Denver County
"ONC.AI, INC.",37.495674,-122.27894,1400000US06081609601,06081609601,CA,San Mateo County
"QUANTITATIVE BIOSCIENCES, INC.",33.048676,-117.250594,1400000US06073017108,06073017108,CA,San Diego County
"LIBERANDUM TECHNOLOGIES, INC.",37.725308,-122.464024,1400000US06075030900,06075030900,CA,San Francisco County
"ORBIT GENOMICS, INC.",40.071761,-105.187817,1400000US08013012708,08013012708,CO,Boulder County
XIRETSA INC.,34.461139,-119.739863,1400000US06083000103,06083000103,CA,Santa Barbara County
"AMIDEBIO, LLC",40.027276,-105.27997,1400000US08013012106,08013012106,CO,Boulder County
"NARWHAL BIO, INC.",32.91965,-117.232045,1400000US06073008373,06073008373,CA,San Diego County
SAVAGE MEDICAL,37.513307,-122.311055,1400000US06081608800,06081608800,CA,San Mateo County
"IMMUNOVA THERAPEUTICS, LLC",34.141211,-117.991999,1400000US06037431100,06037431100,CA,Los Angeles County
"GELSANA THERAPEUTICS, INC.",39.747863,-104.840743,1400000US08001008100,08001008100,CO,Adams County
"EPIGENOME TECHNOLOGIES, INC.",32.942197,-117.246611,1400000US06073008324,06073008324,CA,San Diego County
SUMA SOLUTIONS,34.216258,-119.145364,1400000US06111004902,06111004902,CA,Ventura County
"OSSIUM HEALTH, INC.",37.774795,-122.414833,1400000US06075017603,06075017603,CA,San Francisco County
NEUROTRAINER INC,37.801147,-122.456668,1400000US06075060100,06075060100,CA,San Francisco County
"BLOOM SCIENCE, INC.",32.913227,-117.231045,1400000US06073008339,06073008339,CA,San Diego County
SCIENTIFIC HORIZONS CONSULTING LLC,33.803183,-117.836786,1400000US06059076206,06059076206,CA,Orange County
"KOLIBER BIOSCIENCES, INC.",32.959186,-116.971701,1400000US06073020801,06073020801,CA,San Diego County
"XCELLASSAY, INC.",37.771053,-122.440989,1400000US06075016601,06075016601,CA,San Francisco County
