state,state_code,FIPS,county,pop_2024,terminated_econ_loss,IDC_econ_loss
Georgia,GA,13029,Bryan County,51105,29622.64428,202098.7092
Georgia,GA,13031,Bulloch County,85454,131546.3554,682412.5574
Georgia,GA,13033,Burke County,24472,199964.9328,888000.9611
Georgia,GA,13035,Butts County,27127,25268.82017,188638.9817
Georgia,GA,13037,Calhoun County,5441,2965.235288,53038.48528
Georgia,GA,13039,Camden County,59099,47308.87734,273109.9723
Georgia,GA,13043,Candler County,11130,12648.96939,72608.44296
Georgia,GA,13045,Carroll County,129911,319729.9053,1455315.234
Georgia,GA,13047,Catoosa County,68940,17116.86013,128545.2482
Georgia,GA,13049,Charlton County,13021,3465.201202,20204.09887
Georgia,GA,13051,Chatham County,307336,152043.1655,1142112.314
Georgia,GA,13053,Chattahoochee County,8548,2147.43937,20966.59551
Georgia,GA,13055,Chattooga County,25306,42741.66442,122392.7707
Georgia,GA,13057,Cherokee County,293513,552322.2071,3733140.125
Georgia,GA,13059,Clarke County,129995,2856582.004,12100475.07
Georgia,GA,13061,Clay County,2815,42.57418438,2100.304789
Georgia,GA,13063,Clayton County,297703,2432542.212,9777849.705
Georgia,GA,13065,Clinch County,6871,263.9965072,6884.44273
Georgia,GA,13067,Cobb County,787538,4533632.62,23629752.64
Georgia,GA,13069,Coffee County,43851,10060.58843,78159.19346
Georgia,GA,13071,Colquitt County,46977,27812.79716,104806.9127
Georgia,GA,13073,Columbia County,167472,2782088.131,12127683.75
Georgia,GA,13075,Cook County,17984,5123.262226,31969.19845
Georgia,GA,13077,Coweta County,158233,347061.5637,2287566.558
